<BOS> 私 たち は ボストン に 行 き 、 そこ に 一 週間 滞在 し た 。 <EOS>,we went to boston , where we stayed a week . <EOS>,we went to london place to place where we should . <EOS>
<BOS> なぜ 彼女 は 早 く 帰 っ て き た の で す か 。 <EOS>,why did she come home early ? <EOS>,is she come home early ? <EOS>
<BOS> 彼女 は 私 に すぐ 来 い と の 便り を よこ し た 。 <EOS>,she wrote to me to come at once . <EOS>,she did not wait as soon as she comes . <EOS>
<BOS> 私 は ５ 時 に 彼 を 迎え に 行 く つもり で す 。 <EOS>,<EOS>,<EOS>
<BOS> 家 の 中 で コート が 無 くな る はず は な い 。 <EOS>,you can 't have lost your coat in the house . <EOS>,there cannot be no house without the table . <EOS>
<BOS> 木 に オレンジ が いく つ か な っ て い る 。 <EOS>,there are some oranges on the tree . <EOS>,there are some oranges in the tree . <EOS>
<BOS> これ ら の 中 から １ つ 選 び な さ い 。 <EOS>,choose one from among these . <EOS>,choose between these two . <EOS>
<BOS> 彼 の 成功 の 見込み は あ り ま す か 。 <EOS>,is there any hope of his success ? <EOS>,do you have his success ? <EOS>
<BOS> ごめん なさ い 。 早 く 帰 ら な く ちゃ 。 <EOS>,no . <EOS>,<EOS>
<BOS> ただ 気分 が 落ち込 ん で い る だけ さ 。 <EOS>,you 've just been down in the <UNK> . <EOS>,just you have done . <EOS>
<BOS> 私 は 季節 の 中 で 春 が 好き だ 。 <EOS>,<EOS>,<EOS>
<BOS> そちら の 天気 は い い で す か 。 <EOS>,how 's the weather there ? <EOS>,is the weather there ? <EOS>
<BOS> 彼女 以外 の <EOS>,he loves no one but her . <EOS>,nobody of her everybody . <EOS>
<BOS> 彼 は つら い 人生 を 送 っ た 。 <EOS>,he lived a hard life . <EOS>,he got a good hand in the . <EOS>
<BOS> 私 は 毎日 英語 の 勉強 を する 。 <EOS>,<EOS>,<EOS>
<BOS> 私 は フランス 料理 が 好き で す 。 <EOS>,<EOS>,<EOS>
<BOS> 私 は 少し も 泳げ な い 。 <EOS>,<EOS>,<EOS>
<BOS> 彼女 は ショック 死 し た 。 <EOS>,she died of shock . <EOS>,she died all . <EOS>
<BOS> 本当 に い い 天気 だ 。 <EOS>,it 's so lovely a day . <EOS>,the weather is really nice . <EOS>
<BOS> 自分 の 事 を しろ 。 <EOS>,show your own business . <EOS>,go on your own . <EOS>
<BOS> その パーティー で 彼女 に 会 う と は まったく 思 わ な かっ た 。 <EOS>,she was the last woman that <EOS>,the party was not clear that she did it . <EOS>
<BOS> 無駄 に し た 時間 を 取り返 さ な けれ ば な ら な い 。 <EOS>,you must make up for lost time . <EOS>,you have to make up for lost time . <EOS>
<BOS> その 計画 に は 多額 の 金 が 必要 と な る だ ろ う 。 <EOS>,the new plan will call for a lot of money . <EOS>,the plan will do for a lot of money . <EOS>
<BOS> 彼 は 私 に 時々 便り を し ま す と 約束 し た 。 <EOS>,he promised that he would write to me once in a while . <EOS>,he promised me to keep up with me . <EOS>
<BOS> 長 く 歩 い た の で 私 は 疲れ て い る 。 <EOS>,<EOS>,<EOS>
<BOS> 君 の 未来 計画 に つ い て 話 し て くださ い 。 <EOS>,tell me about your program for the future . <EOS>,tell me all about your plan . <EOS>
<BOS> 私 は たくさん の 本 を 持 っ て い ま す 。 <EOS>,<EOS>,<EOS>
<BOS> この 本 を 読 む の は い い 考え で す 。 <EOS>,it is a good idea to read this book . <EOS>,it 's a good book to read this . <EOS>
<BOS> リムジン は 何 時 に 空港 に 出発 し ま す か 。 <EOS>,what time does the shuttle bus leave for the airport ? <EOS>,what time does the airport leave for the airport ? <EOS>
<BOS> 食事 の 前 に 手 を 洗 い な さ い 。 <EOS>,wash your hands before meals . <EOS>,wash your hands before meals . <EOS>
<BOS> わたし は 、 ３ 日 で それ を 建て よ う 。 <EOS>,and <EOS>,<EOS>
<BOS> 彼女 は 猫 を 飼 <UNK> っ て い た 。 <EOS>,she wants to keep a cat . <EOS>,she stood on a cat . <EOS>
<BOS> 明日 の 朝 に 電話 を いた し ま す 。 <EOS>,<EOS>,<EOS>
<BOS> 彼 は 音楽 の 研究 に 専念 し た 。 <EOS>,he applied himself to the study of music . <EOS>,he fell in love with music . <EOS>
<BOS> 昨日 は 日 曜 日 で し た 。 <EOS>,it was sunday yesterday . <EOS>,<EOS>
<BOS> 君 に 良 い 知らせ が あ る 。 <EOS>,<EOS>,<EOS>
<BOS> あの 件 は あの まま で あ る 。 <EOS>,the matter has not been settled yet . <EOS>,that 's the way that is . <EOS>
<BOS> 彼 に 電話 連絡 でき な かっ た 。 <EOS>,<EOS>,<EOS>
<BOS> その 山 に は 木 が な い 。 <EOS>,the hill is bare of trees . <EOS>,there is no a little flowers in the tree . <EOS>
<BOS> 彼 は 歴史 から 消え た 。 <EOS>,he was lost to history . <EOS>,he went out of the sight . <EOS>
<BOS> 私 は 道路 を 横断 する の は 不 可能 だ と 思 っ た 。 <EOS>,<EOS>,<EOS>
<BOS> 私 は 毎朝 ６ 時 に 起き る こと に し て い る 。 <EOS>,<EOS>,<EOS>
<BOS> いつ か その 仕事 が 成功 する 日 が 来る だ ろ う 。 <EOS>,the day will come someday when the business will succeed . <EOS>,whether the day will come when you will succeed . <EOS>
<BOS> 彼 は 三 回 ロンドン に 行 っ た 事 が あ る 。 <EOS>,he has been to london three times . <EOS>,he went to london three times a day . <EOS>
<BOS> 診察 時間 は 何 時 から 何 時 まで で す か 。 <EOS>,from what time to what time is your office open ? <EOS>,what are the time you hours ? <EOS>
<BOS> 彼 は 非常 に 多く の 金 を 本 に 使 う 。 <EOS>,he spends a great deal of money on books . <EOS>,he works a lot of money on his books . <EOS>
<BOS> 私 は 休 む ため に 横 に な っ た 。 <EOS>,<EOS>,<EOS>
<BOS> 私 は たま に し か 勉強 し な い 。 <EOS>,<EOS>,<EOS>
<BOS> それ は 彼 に つ い て も 当てはま る 。 <EOS>,that applies to him too . <EOS>,it makes him him . <EOS>
<BOS> どう も 彼女 は 失敗 する よう に 思 う 。 <EOS>,<EOS>,<EOS>
<BOS> 正月 が すぐ そこ まで 来 て い る 。 <EOS>,new year 's day is close at hand . <EOS>,the weather stayed at there until tomorrow . <EOS>
<BOS> 彼 は 私 の 一番 の 友人 で す 。 <EOS>,he is my best friend . <EOS>,he is a friend of mine . <EOS>
<BOS> 来 て くださ って ありがとう ござ い ま す 。 <EOS>,thank you for coming . <EOS>,it 's very kind of you to come . <EOS>
<BOS> 夏 の 大半 私 は ロンドン に い た 。 <EOS>,<EOS>,<EOS>
<BOS> 車 に 乗せ て くれ な い か 。 <EOS>,why don 't you give me a ride ? <EOS>,can you give me a lift ? <EOS>
<BOS> 今週 は 大いに 書 き ま し た 。 <EOS>,<EOS>,<EOS>
<BOS> あの 音 は 何 だっ た の か 。 <EOS>,what was that noise ? <EOS>,what was that strange ? <EOS>
<BOS> 案内 所 は どこ で す か 。 <EOS>,where is the information <UNK> ? <EOS>,where 's the show ? <EOS>
<BOS> この 本 を 私 に 下さ い 。 <EOS>,please give me this book . <EOS>,this book is easy to me . <EOS>
<BOS> 初めて の 診察 で す か 。 <EOS>,is this your first visit here ? <EOS>,what 's the first time ? <EOS>
<BOS> ギター の 弾 き 方 を 教え て くれ ま せ ん か 。 <EOS>,will you tell me how to play the guitar ? <EOS>,will you show me the way to play the ? <EOS>
<BOS> とき に は 試合 は 一 日 中 続 き ま し た 。 <EOS>,sometimes the game lasted all day . <EOS>,day came to the meeting yesterday . <EOS>
<BOS> 彼 は ２、３ 日 後 に 戻 っ て くる で しょ う 。 <EOS>,he will be back in a couple of days . <EOS>,he will be back in a few days . <EOS>
<BOS> どう や っ て 彼女 に <UNK> と い う ん だい 。 <EOS>,how can you break the news to her ? <EOS>,how do you get on her ? <EOS>
<BOS> なまけ て 時 を 過ご し て は な ら な い 。 <EOS>,you must not idle away . <EOS>,don 't leave time after all . <EOS>
<BOS> 君 は ここ から すぐ に 逃げ た ほう が よ い 。 <EOS>,you had better get away from here at once . <EOS>,you had better call a call from you soon . <EOS>
<BOS> 大事 な こと は すぐ 警察 を 呼 ぶ こと で す 。 <EOS>,the important thing is to call the police at once . <EOS>,what you call is a police at the police station . <EOS>
<BOS> この 仕事 が 終わ っ て くれ たら い い ん だ 。 <EOS>,<EOS>,<EOS>
